emp_no,first_name,last_name,title,from_date,salary
259430,Yechiam,Kobara,Senior Engineer,2002-08-01,42235
461960,Remko,Ramsay,Senior Staff,2002-08-01,45705
206731,Phuoc,Ramras,Senior Engineer,2002-08-01,47835
96599,Kwee,Salverda,Senior Engineer,2002-08-01,40000
106648,Khue,Masamoto,Senior Engineer,2002-07-31,55524
56227,Shen,Makrucki,Senior Staff,2002-07-31,52748
459158,Naftali,Anger,Senior Staff,2002-07-31,79635
263088,Xianlong,Undy,Senior Staff,2002-07-31,41440
289182,Gio,Nicolson,Senior Staff,2002-07-31,40000
37664,Dines,Sundgren,Senior Engineer,2002-07-31,40000
445728,Herb,Lorin,Engineer,2002-07-31,43208
417555,Zejun,Coors,Senior Engineer,2002-07-31,60173
458538,Zissis,Prenel,Senior Staff,2002-07-30,40000
96196,Berthier,Zambonelli,Senior Engineer,2002-07-30,45838
32261,Bernt,Dehkordi,Senior Engineer,2002-07-29,61148
45217,Marsal,Pena,Senior Staff,2002-07-29,40000
240083,Huan,Kroon,Senior Engineer,2002-07-29,40726
221086,Baziley,Motley,Senior Staff,2002-07-29,40000
53092,Tetsushi,England,Senior Staff,2002-07-28,81343
442133,Bernd,Angel,Senior Staff,2002-07-28,85908
299091,Kinh,Angel,Senior Engineer,2002-07-28,40000
248336,Amstein,Vitiello,Senior Staff,2002-07-28,76219
73758,Serenella,Sevcikova,Senior Engineer,2002-07-28,44201
13210,Jianhua,Klassen,Senior Staff,2002-07-27,83961
98445,Spyrose,Constantine,Senior Engineer,2002-07-27,65189
109167,Uli,Harllee,Senior Staff,2002-07-27,40000
203484,Guttorm,Gyimothy,Senior Staff,2002-07-27,57018
60488,Yakkov,Staylopatis,Senior Engineer,2002-07-27,55530
235740,Arco,Baer,Senior Staff,2002-07-26,86294
16130,Kerryn,Belinskaya,Engineer,2002-07-26,40000
205524,Dante,Reistad,Senior Engineer,2002-07-25,44416
474376,Jovan,Bage,Senior Engineer,2002-07-24,46646
467524,Youngkon,Pearson,Senior Staff,2002-07-24,79405
299587,Visit,Schaad,Senior Engineer,2002-07-24,63186
413166,Koldo,Salverda,Senior Staff,2002-07-24,61714
474386,Collette,Ohori,Engineer,2002-07-23,44880
454271,Uta,Sullins,Senior Engineer,2002-07-22,40000
86342,Marit,Boguraev,Senior Engineer,2002-07-21,57263
259457,Alper,Garnier,Senior Engineer,2002-07-21,62540
278523,Berni,Back,Senior Staff,2002-07-21,75523
467443,Xiadong,Ramamoorthy,Senior Engineer,2002-07-21,40000
456169,Kinh,Perl,Senior Engineer,2002-07-20,43729
269157,Leaf,Asrin,Senior Staff,2002-07-20,84354
293048,Berhard,Simmen,Senior Staff,2002-07-19,40000
101845,Giordano,Pouyioutas,Senior Staff,2002-07-19,40000
280247,Lorien,Desikan,Senior Engineer,2002-07-19,40000
202006,Gritta,Peac,Engineer,2002-07-19,49739
86081,Valery,Iwayama,Senior Staff,2002-07-19,53594
62443,Conrado,Pluym,Senior Engineer,2002-07-18,57970
474569,Paraskevi,Nyanchama,Senior Staff,2002-07-18,92009
70602,Hongzhu,Maquelin,Senior Engineer,2002-07-18,40000
232134,Malu,Suwa,Senior Engineer,2002-07-17,48500
448254,Hironobu,Gischer,Senior Engineer,2002-07-17,60178
488057,Gennady,Schonegge,Senior Engineer,2002-07-14,40501
44873,Eberhardt,Raczkowsky,Senior Staff,2002-07-14,47739
435456,Chiradeep,Bazzichi,Senior Engineer,2002-07-14,45009
64796,Xiadong,Auria,Senior Staff,2002-07-14,66457
67761,Jagoda,Rothe,Senior Staff,2002-07-14,40000
57715,Shaibal,Chinen,Senior Staff,2002-07-13,40000
234816,Filipe,Langford,Senior Engineer,2002-07-13,51399
96138,Lidong,Ghalwash,Senior Engineer,2002-07-13,40000
58475,Angel,Chaudhury,Senior Engineer,2002-07-11,40000
205245,Angus,Raczkowsky,Senior Engineer,2002-07-11,54462
281118,Munir,Leaver,Senior Staff,2002-07-10,72801
105264,Chrisa,Simkin,Senior Staff,2002-07-10,56850
292198,Geoff,Gien,Senior Staff,2002-07-10,91548
35333,Hideyuki,Veldwijk,Senior Engineer,2002-07-10,43872
226568,Deniz,Frezza,Senior Staff,2002-07-10,52504
427055,Toong,Rosis,Senior Engineer,2002-07-09,40000
12601,Ghassan,Simkin,Senior Engineer,2002-07-09,41714
283185,Fabrizio,Schapire,Senior Engineer,2002-07-09,40000
35570,Baocai,Katzenelson,Senior Engineer,2002-07-09,55970
232276,Berna,Ruemmler,Senior Staff,2002-07-09,40000
488941,Wayne,Zeidenstein,Senior Staff,2002-07-09,46812
32465,Yucel,Dymetman,Senior Engineer,2002-07-09,40000
275189,Sachar,Katzenelson,Engineer,2002-07-08,45637
486012,Ramzi,Shanbhogue,Senior Engineer,2002-07-08,51735
226275,Alain,Katiyar,Senior Engineer,2002-07-08,77454
223543,Basil,Peres,Senior Engineer,2002-07-08,61263
56808,Yuriy,Anick,Senior Staff,2002-07-08,40000
81079,Nahla,Mellouli,Senior Staff,2002-07-07,53145
20558,Toong,Panangaden,Senior Staff,2002-07-07,40000
298261,Tommaso,Mateescu,Senior Engineer,2002-07-07,47420
207793,Magdalena,Passafiume,Senior Engineer,2002-07-07,40000
415320,Mingzeng,Mullainathan,Senior Engineer,2002-07-07,40000
259583,Kiyomitsu,Swan,Senior Staff,2002-07-06,40000
285002,Turgut,Ranai,Senior Engineer,2002-07-06,42271
445910,Patricia,Fritzsche,Senior Staff,2002-07-06,53423
106417,Kwun,Clouatre,Senior Staff,2002-07-06,40000
416690,Ulf,Mahmud,Senior Staff,2002-07-05,80568
109189,Billie,Codenie,Senior Staff,2002-07-05,73531
401017,Shigeu,Provine,Senior Staff,2002-07-05,76730
413160,Tadanori,Felcyn,Senior Staff,2002-07-05,94214
273601,Anwar,Seiwald,Senior Engineer,2002-07-05,40000
262216,Ennio,Auria,Senior Staff,2002-07-04,76452
241880,Moty,Erev,Senior Staff,2002-07-04,66915
295365,Jianhui,Bridgland,Senior Engineer,2002-07-04,47401
451010,Ger,Schusler,Senior Engineer,2002-07-04,51933
109809,Kazuhide,Cherinka,Senior Engineer,2002-07-04,41558
36573,Xuedong,Lakshmanan,Senior Engineer,2002-07-04,40000
278531,Zeljko,Serre,Senior Staff,2002-07-04,55662
77325,Feiyu,Brickell,Senior Staff,2002-07-03,70697
69647,Deborah,Pileggi,Senior Staff,2002-07-02,64210
492323,Houman,Stanfel,Senior Staff,2002-07-02,96794
24596,Ayonca,Stranks,Senior Staff,2002-07-02,68819
289961,Kitty,Ponthieu,Senior Engineer,2002-07-02,66418
59783,Volkmar,Raczkowsky,Senior Staff,2002-07-02,60047
462289,Kenroku,Adachi,Senior Engineer,2002-07-01,44191
50512,Yolla,Shimshoni,Senior Engineer,2002-07-01,40000
24383,Aksel,Erev,Senior Engineer,2002-06-30,40000
35510,JoAnne,Merks,Senior Engineer,2002-06-30,40000
265161,Hausi,Pfau,Senior Staff,2002-06-30,40000
255499,Dannz,Engelmann,Senior Staff,2002-06-30,72737
285243,Lakshmi,Vieth,Senior Staff,2002-06-30,52052
104610,Fusako,Peak,Senior Staff,2002-06-29,61345
15066,Tomokazu,Oaver,Senior Engineer,2002-06-29,43455
61465,Sumant,Huttel,Senior Staff,2002-06-29,44950
488121,Urs,Schneeberger,Senior Engineer,2002-06-29,40000
290536,Kiam,Janetzko,Senior Engineer,2002-06-28,40000
45977,Ulf,Wiegley,Senior Staff,2002-06-28,44570
211837,Billur,Porotnikoff,Senior Engineer,2002-06-28,40000
281699,Filipe,Penz,Senior Staff,2002-06-28,40000
458058,Marjo,Klassen,Senior Engineer,2002-06-26,42140
280598,Takanari,Lovengreen,Senior Staff,2002-06-25,40920
43996,Hiroyasu,Bodoff,Senior Engineer,2002-06-25,57941
33205,Matk,Egerstedt,Senior Engineer,2002-06-25,67507
490453,Eckart,Baik,Senior Engineer,2002-06-24,40000
208256,Hugh,Mungall,Senior Engineer,2002-06-24,40000
449604,Ottavia,Varman,Senior Engineer,2002-06-24,45571
262041,Eckart,Valette,Senior Engineer,2002-06-24,40000
285294,Sorina,Kitai,Senior Engineer,2002-06-24,56537
105167,Lillian,Comyn,Senior Staff,2002-06-23,68908
239873,Mohd,Baaz,Senior Engineer,2002-06-23,47475
462859,Xinglin,Gire,Senior Engineer,2002-06-23,40000
471942,Heekeun,Hardjono,Senior Engineer,2002-06-23,59805
30606,Chuanyi,Shrader,Senior Engineer,2002-06-22,50508
73868,Moon,Goodrum,Senior Engineer,2002-06-22,79654
474194,Ult,Iisaka,Senior Engineer,2002-06-22,46451
221475,Wilmer,Engelmann,Senior Engineer,2002-06-22,43027
277869,Berto,Kakkar,Senior Engineer,2002-06-22,55457
494853,Yechiam,Lunt,Senior Staff,2002-06-21,72948
254880,Tran,Rassart,Senior Staff,2002-06-21,77640
65594,Dietrich,Sadowski,Senior Engineer,2002-06-21,40000
440788,Zita,Mawatari,Senior Engineer,2002-06-21,41491
413905,Piyawadee,Gelosh,Engineer,2002-06-19,55848
44682,Souichi,Boissier,Senior Staff,2002-06-19,82058
475810,Martial,Bellone,Senior Staff,2002-06-18,61994
22012,DeForest,Armand,Senior Engineer,2002-06-18,42886
87637,Qingxiang,Aamodt,Senior Staff,2002-06-18,40000
209316,Jaana,Kuszyk,Senior Engineer,2002-06-18,40000
445220,Florina,Luft,Senior Staff,2002-06-17,58098
257274,Yagil,Perfilyeva,Senior Engineer,2002-06-17,40000
35558,Kshitij,Staudhammer,Senior Staff,2002-06-17,62866
47766,Gunilla,Simmel,Senior Staff,2002-06-17,55261
256852,Shir,Tanemo,Senior Staff,2002-06-17,61271
404674,Rajmohan,Furedi,Senior Engineer,2002-06-17,53382
95541,Chinho,Whitcomb,Senior Engineer,2002-06-17,40000
486925,Saeed,Hatcliff,Senior Engineer,2002-06-16,44066
484799,Peternela,Roohalamini,Senior Engineer,2002-06-16,46839
47293,Unal,Beidas,Senior Engineer,2002-06-16,40000
48371,Valery,Krupka,Senior Staff,2002-06-16,60182
409685,Hausi,Brandsma,Senior Engineer,2002-06-16,43218
33216,Zdislav,Thombley,Senior Staff,2002-06-15,68912
405774,Weiyi,Cmelik,Senior Engineer,2002-06-14,40000
242863,Debaprosad,Otillio,Senior Staff,2002-06-14,55529
234703,Deborah,Levasseur,Engineer,2002-06-14,58316
50590,Leucio,Calkin,Senior Engineer,2002-06-13,40000
427817,Vishv,Kading,Senior Engineer,2002-06-13,40000
19744,Aleksander,Skafidas,Senior Engineer,2002-06-13,59739
243208,Sachin,Biros,Senior Staff,2002-06-13,40000
85811,Dayanand,Bain,Senior Engineer,2002-06-13,60982
445410,Elvia,Brodie,Senior Engineer,2002-06-12,66788
92983,Masoud,Rosca,Senior Engineer,2002-06-12,48444
35865,Claudi,Fujisaki,Senior Engineer,2002-06-11,40000
407956,Yonghong,Kawashima,Senior Staff,2002-06-10,91362
452451,Duro,Matzen,Engineer,2002-06-10,64113
64969,Jasminko,Kawashima,Senior Engineer,2002-06-09,40000
484282,Tetsushi,Anick,Senior Staff,2002-06-09,53111
450217,Petter,Gluchowski,Senior Engineer,2002-06-09,40000
401298,Narain,Plotkin,Senior Staff,2002-06-09,40000
